,,,,,,,,
16053,2016-01-06,2017-01-06,,,,,,
16057,2016-01-07,2016-07-07,,,,,,
16062,2016-01-08,2016-07-08,,,,,,
16065,2016-01-11,2016-07-11,,,,,,
16069,2016-01-11,2016-07-11,,,,,,
16083,2016-01-16,2017-01-16,,,,,,
16084,2016-01-18,2017-01-18,,,,,,
16087,2016-01-19,2016-07-19,,,,,,
16088,2016-01-19,2017-07-19,,,,,,
16089,2016-01-19,2017-07-19,,,,,,
16090,2016-01-19,2016-07-19,,,,,,
16094,2016-01-20,2016-07-20,,,,,,
16096,2016-01-22,2016-07-22,,,,,,
16102,2016-01-23,2016-07-23,,,,,,
16104,2016-01-25,2016-07-25,,,,,,
16106,2016-01-25,2016-07-25,,,,,,
16107,2016-01-27,2016-07-27,,,,,,
16113,2016-01-27,2016-07-27,,,,,,
16114,2016-01-27,2016-07-27,,,,,,
16117,2016-01-27,2016-07-27,,,,,,
16122,2016-01-28,2016-07-28,,,,,,
16124,2016-01-29,2016-07-29,,,,,,
16131,2016-01-30,2016-07-30,,,,,,
16134,2016-02-01,2016-08-01,,,,,,
16135,2016-02-01,2016-08-01,,,,,,
16136,2016-02-01,2016-08-01,,,,,,
16137,2016-02-01,2016-08-01,,,,,,
16138,2016-02-01,2016-08-01,,,,,,
16139,2016-02-02,2016-08-02,,,,,,
16142,2016-02-02,2016-08-02,,,,,,
16145,2016-02-03,2017-02-03,,,,,,
16146,2016-02-03,2016-08-03,,,,,,
16151,2016-02-04,2016-08-04,,,,,,
16153,2016-02-04,2016-08-04,,,,,,
16154,2016-02-04,2016-08-04,,,,,,
16161,2016-02-05,2016-08-05,,,,,,
16162,2016-02-06,2017-02-06,,,,,,
16168,2016-02-08,2016-08-08,,,,,,
16172,2016-02-08,2016-08-08,,,,,,
16174,2016-02-09,2017-02-09,,,,,,
16176,2016-02-09,2016-08-09,,,,,,
16178,2016-02-09,2016-08-09,,,,,,
16180,2016-02-09,2017-02-09,,,,,,
16182,2016-02-09,2016-08-09,,,,,,
16183,2016-02-09,2016-08-09,,,,,,
16185,2016-02-10,2016-08-10,,,,,,
16187,2016-02-11,2017-02-11,,,,,,
16189,2016-02-11,2016-08-11,,,,,,
16194,2016-02-13,2016-08-13,,,,,,
16195,2016-02-13,2016-08-13,,,,,,
16196,2016-02-13,2016-08-13,,,,,,
16199,2016-02-15,2016-08-15,,,,,,
16200,2016-02-15,2016-08-15,,,,,,
16201,2016-02-16,2016-08-16,,,,,,
16202,2016-02-16,2016-08-16,,,,,,
16203,2016-02-16,2017-02-16,,,,,,
16204,2016-02-16,2016-08-16,,,,,,
16207,2016-02-19,2016-08-19,,,,,,
16209,2016-02-20,2016-08-20,,,,,,
16214,2016-02-22,2017-02-22,,,,,,
16216,2016-02-22,2016-08-22,,,,,,
16218,2016-02-22,2016-08-22,,,,,,
16219,2016-02-22,2016-08-22,,,,,,
16220,2016-02-23,2016-08-23,,,,,,
16222,2016-02-23,2016-08-23,,,,,,
16223,2016-02-23,2016-08-23,,,,,,
16229,2016-02-25,2016-08-25,,,,,,
16230,2016-02-25,2016-08-25,,,,,,
16231,2016-02-25,2016-08-25,,,,,,
16232,2016-02-25,2016-08-25,,,,,,
16233,2016-02-26,2016-08-26,,,,,,
16234,2016-02-26,2016-08-26,,,,,,
16237,2016-02-26,2016-08-26,,,,,,
16238,2016-02-26,2016-08-26,,,,,,
16239,2016-02-27,2016-08-27,,,,,,
16242,2016-02-29,2016-08-29,,,,,,
16243,2016-02-29,2016-08-29,,,,,,
16246,2016-02-29,2016-08-29,,,,,,
16248,2016-02-29,2016-08-29,,,,,,
16249,2016-02-29,2016-08-29,,,,,,
16253,2016-03-01,2016-09-01,,,,,,
16254,2016-03-01,2016-09-01,,,,,,
